model_version,life_stage,risk_level,need,lambda,sigma_cap,cash_min,risk_asset_max,cmd_rule,cmd_slack,floor_used,target_met,w_cash,w_bond,w_equity,w_commodity,exp_return,ann_vol,ann_var,utility,sharpe_excess_rf,status
V3,退休,C2,传承,6.5,0.015,0.12,0.054,off,,,False,24,71,2,3,0.039197,0.014848,0.00022,0.03848,1.696964,optimal
V3,刚毕业,C3,保值,4.2,0.128,0.03,0.541875,off,,,False,3,43,23,31,0.072027,0.066013,0.004358,0.062876,0.879017,optimal
V3,刚毕业,C3,增值,4.2,0.128,0.03,0.7225,hard,,0.07,True,3,25,25,47,0.079895,0.078661,0.006188,0.066901,0.837704,optimal
V3,刚毕业,C3,传承,4.2,0.128,0.03,0.65025,hard,,0.05,True,3,32,24,41,0.076719,0.073162,0.005353,0.065478,0.857258,optimal
V3,单身青年,C3,保值,4.2,0.12,0.04,0.51,off,,,False,4,45,23,28,0.070734,0.064754,0.004193,0.061928,0.876143,optimal
V3,单身青年,C3,增值,4.2,0.12,0.04,0.68,hard,,0.07,True,4,28,25,43,0.078223,0.07645,0.005845,0.065949,0.840067,optimal
V3,单身青年,C3,传承,4.2,0.12,0.04,0.612,hard,,0.05,True,4,35,24,37,0.075047,0.071116,0.005058,0.064426,0.858412,optimal
V3,二人世界,C3,保值,4.2,0.112,0.07,0.478125,off,,,False,7,46,21,26,0.067704,0.059272,0.003513,0.060326,0.906054,optimal
V3,二人世界,C3,增值,4.2,0.112,0.07,0.6375,hard,,0.07,True,7,30,23,40,0.074814,0.070488,0.004968,0.06438,0.862762,optimal
V3,二人世界,C3,传承,4.2,0.112,0.07,0.57375,hard,,0.05,True,7,36,23,34,0.07254,0.067428,0.004547,0.062992,0.868185,optimal
V3,小孩学前,C3,保值,4.2,0.112,0.1,0.414375,off,,,False,10,49,21,20,0.064962,0.057104,0.003261,0.058114,0.892439,optimal
V3,小孩学前,C3,增值,4.2,0.112,0.1,0.5525,hard,,0.07,True,10,35,23,32,0.071314,0.06653,0.004426,0.062019,0.86147,optimal
V3,小孩学前,C3,传承,4.2,0.112,0.1,0.49725,hard,,0.05,True,10,41,22,27,0.068517,0.062039,0.003849,0.060434,0.878747,optimal
V3,小孩成年前,C3,保值,4.2,0.112,0.08,0.350625,off,,,False,8,57,21,14,0.063,0.055491,0.003079,0.056534,0.883032,optimal
V3,小孩成年前,C3,增值,4.2,0.112,0.08,0.4675,hard,,0.07,True,8,46,25,21,0.069261,0.067191,0.004515,0.05978,0.822442,optimal
V3,小孩成年前,C3,传承,4.2,0.112,0.08,0.42075,hard,,0.05,True,8,50,22,20,0.066176,0.059527,0.003543,0.058735,0.87651,optimal
